hip,ra,dec,plx,e_plx,pmra,pmdec,b_v,vmag,btmag,vtmag
793,2.45821543,53.5266575,3.57,1.05,-17.04,-30.32,0.955,8.45,9.661,8.553
794,2.45885362,-33.78868219,17.08,1.86,-68.9,-140.78,0.833,8.84,9.944,8.95
796,2.46414999,61.51404444,1.31,1.92,-1.91,-1.87,,11.18,,
795,2.46506329,8.45319673,14.21,4.23,56.25,-11.26,0.716,8.64,9.439,8.635
797,2.46570707,11.41627112,4.58,1.13,41.14,-30.26,0.41,8.42,8.89,8.422
798,2.46706528,-62.29683686,7.37,0.57,17.32,17.5,0.164,6.34,6.527,6.356
800,2.46840823,51.42303822,2.27,1.15,6.42,-7.42,1.301,7.93,9.621,8.071
799,2.46856966,12.7108424,5.18,1.15,-6.09,-5.73,1.072,8.36,9.737,8.479
801,2.47045485,-50.26778193,18.8,1.05,-95.65,-16.64,0.595,8.32,9.017,8.368
802,2.4791263,4.83249243,1.52,1.13,10.73,6.51,1.219,7.77,9.357,7.911
803,2.47924356,-2.5612296,2.68,1.06,3.61,-14.97,1.611,6.84,9.001,7.059
804,2.48490475,-78.5905409,8.36,0.83,21.48,-24.43,1.011,8.78,10.048,8.868
805,2.48641063,-44.66648659,4.44,0.79,41.82,19.12,0.974,7.19,8.427,7.295
806,2.48796018,4.16612269,1.7,1.1,5.81,-7.55,1.166,8.5,10.027,8.649
807,2.48945297,8.57704143,5.8,1.28,-71.6,-41.37,0.62,8.82,9.499,8.83
808,2.48996359,43.43841927,7.14,1.07,78.46,-25.09,0.542,9.04,9.663,9.083
809,2.49206123,-65.35709708,4.37,0.77,31.37,-5.49,0.964,7.93,9.151,8.032
810,2.49611767,-25.87473632,6.14,0.89,49.04,11.49,0.139,7.66,7.84,7.671
811,2.50217025,-28.48237046,-0.35,2.7,-3.63,-23.52,,10.07,11.805,10.413
812,2.5068334,44.10967471,1.27,1.07,-3.67,-5.17,1.014,9.03,10.331,9.148
813,2.50910252,11.14580908,10.04,0.86,29.73,1.64,-0.064,5.54,5.455,5.53
814,2.50945435,-82.22399743,13.45,0.5,-21.66,-20.39,1.049,5.29,6.625,5.397
815,2.51101423,-63.29667598,9.63,0.81,-49.67,-38.68,0.456,8.13,8.652,8.183
817,2.51326491,46.39035323,7.21,1.55,10.98,-16.28,0.251,7.51,7.762,7.498
816,2.51334416,-77.48041239,1.56,0.89,19.15,-4.91,1.031,9.08,10.411,9.206
818,2.51367088,-8.97418208,10.24,1.21,79.91,11.92,0.345,7.1,7.479,7.142
819,2.5183958,-79.00183917,11.15,0.68,13.82,-3.47,0.476,7.88,8.429,7.936
820,2.51916096,86.02305546,1.08,0.93,23.08,0.9,0.539,9.4,10.058,9.481
821,2.5198354,33.53943767,4.59,1.12,26.69,1.24,0.293,9.06,9.358,9.05
822,2.52181595,84.15197251,7.73,0.7,41.59,8.14,0.371,8.38,8.808,8.416
823,2.52192137,38.41489409,10.83,2.1,-8.2,14.07,1.077,10.65,11.995,10.731
824,2.52286733,25.19788575,3.13,0.9,4.16,9.1,1.603,7.77,9.869,7.98
825,2.52776652,50.8068353,4.15,1.03,25.21,-3.89,1.042,8.5,9.849,8.63
826,2.52801043,47.3068396,3.05,1.08,-1.78,-1.59,1.156,8.61,10.111,8.746
827,2.52808509,-28.33779222,6.95,1.59,13.12,-0.19,0.7,10.05,10.834,10.117
828,2.53029756,39.64894107,3.6,1.01,-18.42,-20.48,0.594,8.71,9.406,8.82
830,2.53282312,-15.17703288,4.95,1.42,10.55,-35.32,0.409,9.37,9.825,9.406
829,2.53330673,-78.3006603,3.21,0.6,8.12,-23.32,1.377,6.97,8.77,7.124
831,2.53868415,-49.14331204,8.5,2.9,82.16,-25.58,0.524,8.56,9.356,8.803
832,2.54226103,-33.28094424,-2.57,1.52,18.32,-42.66,0.815,9.34,10.349,9.41
833,2.54331677,-19.98355516,6.1,1.56,18.92,-9.67,0.526,9.47,10.106,9.546
834,2.54377402,64.64672491,4.74,0.83,-30.17,-4.08,1.032,8.11,9.488,8.282
835,2.55428058,25.52675303,3.93,1.13,0.42,0.09,0.356,8.91,9.363,8.937
836,2.55874804,60.0260491,1.12,0.83,2.13,-0.9,1.311,7.83,9.556,7.993
837,2.56783172,50.88488337,2.74,1.18,48.26,6.1,1.104,8.95,10.375,9.076
838,2.56856497,52.25514295,2.98,0.81,7.42,-2.57,-0.053,7.2,7.143,7.206
839,2.57458042,-70.83688393,5.26,0.97,11.72,-4.47,0.411,9.37,9.775,9.433
840,2.57853868,-5.24851713,18.18,0.92,34.98,-29.01,0.973,5.84,7.099,5.957
841,2.58017518,46.07227117,3.24,0.68,4.51,0.21,0.405,5.01,5.507,5.074
842,2.58572192,-22.76918457,3.85,1.39,-8.67,5.34,0.437,9.81,10.321,9.872
843,2.58674385,18.65036403,2.76,1.18,14.19,5.67,1.12,9.27,10.66,9.406
844,2.58889481,-48.14358093,7.14,1.38,-4.72,-1.03,0.423,9.5,9.99,9.557
845,2.59487992,-43.52292038,4.82,1.18,44.95,-1.11,0.511,9.32,9.881,9.407
40075,122.79363657,27.83737112,-2.48,3.14,-23.7,-21.97,,11.41,,
847,2.59596953,-11.78583365,10.15,1.04,24.05,-8.04,0.508,8.38,8.982,8.449
848,2.60083995,58.48950539,10.35,0.82,-98.55,-10.44,0.473,7.74,8.254,7.804
849,2.60385459,-6.03970203,3.27,1.2,18.39,-7.54,1.042,8.6,9.929,8.71
850,2.60694761,-30.47906079,4.92,3.74,4.11,-9.27,1.232,9.49,11.08,9.618
851,2.60951431,-14.45220836,6.17,1.02,70.12,-51.75,0.528,8.35,8.959,8.417
852,2.61150772,28.65292193,3.65,0.87,-5.04,-16.73,1.528,7.11,9.145,7.347
853,2.61434147,-73.64945333,4.11,2.38,16.06,10.97,0.503,9.87,10.488,9.954
854,2.61845161,13.59498069,7.48,1.29,-12.09,-8.63,0.471,8.98,9.511,9.01
855,2.62084078,51.9123888,1.83,1.07,-7.91,-17.48,1.487,7.75,9.692,7.907
856,2.62339153,15.23192856,12.91,1.06,-68.53,-65.05,0.491,8.24,8.813,8.286
857,2.62358027,57.16549747,6.52,0.73,20.1,-1.19,-0.074,6.74,6.621,6.713
858,2.63506952,33.1308857,4.74,0.76,-25.63,-0.52,1.429,6.83,8.664,6.969
859,2.64265068,52.31675606,7.1,0.92,-0.36,-19.2,0.144,7.7,7.861,7.711
860,2.64438297,59.67341444,1.66,0.61,7.17,-3.15,-0.017,6.7,6.681,6.702
861,2.65280052,-41.11858278,3.45,1.27,-16.12,-24.33,1.037,8.67,9.987,8.774
862,2.65641131,-49.28139379,13.51,2.44,15.68,-42.51,,9.94,10.851,9.989
863,2.65757354,-63.63430723,5.51,0.84,62.11,-9.78,0.563,8.73,9.398,8.794
864,2.65873023,16.84407826,0.66,1.37,49.08,-22.78,1.462,9.63,11.659,9.941
865,2.65962298,-73.22443438,15.06,0.7,121.5,18.57,0.372,6.66,7.088,6.695
866,2.66144965,56.05613623,5.16,0.87,5.33,-4.42,0.077,8.29,8.366,8.288
867,2.66293453,12.82027132,15.57,1.17,38.98,-16.72,0.574,8.47,9.146,8.53
868,2.66362432,2.30067277,2.91,0.97,0.04,3.36,1.165,8.16,9.666,8.289
869,2.66937648,13.22299119,8.77,1.49,95.83,3.92,0.497,8.97,9.533,9.003
